% Importance,Feature
0.16971322196113697,title_BM25_score
0.13169046309704965,desc_BM25_score
0.1108808898386148,len_of_description
0.08688368096332373,search_term_feature
0.07935490332155112,len_of_attr
0.07930082982964329,len_of_attr_title
0.07258809465471014,len_of_title
0.07250063071306603,brand_feature
0.06346550497079416,attr_BM25_score
0.05122325749946704,attr_title_BM25_score
0.046215344347716084,len_of_query
0.02078111107196685,brand_BM25_score
0.015402067730960289,len_of_brand
