,rank,time,rmse,alpha,fit_intercept,normalize,tol
0,1.0,9.147850433985392,0.5052439127102785,0.0001,True,False,0.1
1,2.0,8.254570166269938,0.5059563799572855,0.001,True,False,0.01
2,2.0,7.705285310745239,0.5059563799572855,0.001,True,False,0.0001
3,4.0,3.174516201019287,0.5101439026780666,0.01,True,False,0.001
4,5.0,2.9425605138142905,0.5101439189808558,0.01,True,False,0.01
5,6.0,2.74008846282959,0.5101439414502541,0.01,True,False,0.1
6,7.0,0.15180516242980957,0.5126474698549247,0.0001,True,True,0.1
7,8.0,0.23628083864847818,0.5126629798672258,0.0001,True,True,0.001
8,9.0,0.21887580553690592,0.5126780402051332,0.0001,True,True,0.01
9,10.0,2.4849918683369956,0.5127769295305814,0.1,True,False,0.001
10,11.0,2.415273110071818,0.5127771815366086,0.1,True,False,0.01
11,12.0,2.016728162765503,0.5127778281986524,0.1,True,False,0.1
12,13.0,9.221952279408773,0.5152135535303607,0.0001,False,True,0.01
13,14.0,6.950941403706868,0.5264535928492615,0.01,False,True,0.001
14,14.0,5.951917409896851,0.5264535928492615,0.01,False,True,0.0001
15,14.0,7.871216853459676,0.5264535928492615,0.01,False,False,0.01
16,17.0,1.9625470638275146,0.5337240631821822,1.0,True,False,0.001
17,18.0,2.0632034142812095,0.533724084314701,1.0,True,False,0.0001
18,19.0,0.6563879648844401,0.5388967859987708,10.0,True,False,0.001
19,20.0,0.2804350058237712,0.5391272359293054,100.0,True,False,0.001
20,21.0,0.37490200996398926,0.5391286005294244,100.0,True,False,0.0001
21,22.0,0.12803912162780762,0.5412510112395885,0.001,True,True,0.1
22,22.0,0.13059202829996744,0.5412510112395885,1.0,True,True,0.1
23,22.0,0.12742948532104492,0.5412510112395885,0.01,True,True,0.1
24,22.0,0.12949713071187338,0.5412510112395885,1.0,True,True,0.0001
25,22.0,0.13036330540974936,0.5412510112395885,100.0,True,True,0.1
26,22.0,0.13068024317423502,0.5412510112395885,0.1,True,True,0.001
27,22.0,0.12846589088439941,0.5412510112395885,1.0,True,True,0.01
28,22.0,0.12966624895731607,0.5412510112395885,100.0,True,True,0.01
29,22.0,0.12919370333353677,0.5412510112395885,0.1,True,True,0.0001
30,22.0,0.13062779108683267,0.5412510112395885,0.1,True,True,0.01
31,22.0,0.12767203648885092,0.5412510112395885,10.0,True,True,0.1
32,33.0,6.913526773452759,0.6685742718190815,0.1,False,False,0.001
33,33.0,6.351088841756185,0.6685742718190815,0.1,False,False,0.0001
34,35.0,4.901792446772258,0.6685968806397584,0.1,False,False,0.01
35,36.0,0.12253499031066895,0.6768263294945942,0.1,False,False,0.1
36,37.0,0.12275997797648112,0.6808760423062946,0.01,False,True,0.1
37,38.0,0.12699055671691895,0.6814794011265107,0.001,False,False,0.1
38,39.0,0.1258064111073812,0.6823275047883519,0.0001,False,True,0.1
39,40.0,0.1517158349355062,0.8004063395810654,1.0,False,False,0.1
40,41.0,4.833250919977824,0.8065662960784529,1.0,False,True,0.0001
41,42.0,2.437358776728312,0.8065692554158559,1.0,False,True,0.01
42,43.0,1.211575984954834,1.1223328542764954,10.0,False,False,0.01
43,44.0,4.450629472732544,1.12241801137487,10.0,False,True,0.001
44,45.0,3.5864280064900718,1.1224186727808882,10.0,False,False,0.0001
45,46.0,0.6579429308573405,1.1224288300318899,10.0,False,False,0.1
46,46.0,0.6576950550079346,1.1224288300318899,10.0,False,True,0.1
47,48.0,0.7844040393829346,1.45435494579427,100.0,False,True,0.0001
48,49.0,0.37536223729451496,1.4544060833149226,100.0,False,False,0.01
49,50.0,0.5543878873189291,1.454407420828778,100.0,False,True,0.001
